Office Type,Name,State_abbrev,State_num,Total_Population,Race_White,Race_Black,Race_AmerInd,Race_Asian,Race_PacIsl,Race_Other,Race_TwoOrMore,Agg_Household_Income,Inc_Pov_Ratio_below_50,Inc_Pov_Ratio_50_74,Inc_Pov_Ratio_75_99,Inc_Pov_Ratio_100_124,Inc_Pov_Ratio_125_149,Inc_Pov_Ratio_150_174,Inc_Pov_Ratio_175_184,Inc_Pov_Ratio_185_199,Inc_Pov_Ratio_200_299,Inc_Pov_Ratio_300_399,Inc_Pov_Ratio_400_499,Inc_Pov_Ratio_above_500,Age_18_19,Age_20,Age_21,Age_22_24,Age_25_29,Age_30_34,Age_35_39,Age_40_44,Age_45_49,Age_50_54,Age_55_59,Age_60_61,Age_62_64,Age_65_66,Age_67_69,Age_70_74,Age_75_79,Age_80_84,Age_85_over,lean_magnitude,lean_party,battleground,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?
Governor,Oregon,OR,41,4190713,3514983,82046,49051,190680,18758,137973,197222,139783596300,229916,134914,151740,188481,171112,162491,75652,112352,671002,584304,438859,1192319,100758,53227,52578,159182,300260,292395,288287,268546,269492,249988,267232,110799,165770,107756,151856,187984,128833,81800,81382,9,D,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Governor,Pennsylvania,PA,42,12807060,10256084,1428406,21418,455027,5008,307572,333545,424764497500,693015,378478,446377,494207,458473,501311,198463,322153,1957978,1790544,1396023,3756978,352410,171412,165178,475816,867025,828048,775284,720829,803614,855927,916749,365233,529549,319589,419282,572288,416388,291182,313640,1,R,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0
Senator,Pennsylvania,PA,42,12807060,10256084,1428406,21418,455027,5008,307572,333545,424764497500,693015,378478,446377,494207,458473,501311,198463,322153,1957978,1790544,1396023,3756978,352410,171412,165178,475816,867025,828048,775284,720829,803614,855927,916749,365233,529549,319589,419282,572288,416388,291182,313640,1,R,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0
Governor,Rhode Island,RI,44,1057315,852805,70749,4341,36064,883,59743,32730,35209808000,56774,32258,42173,38990,34291,35821,14225,20128,140376,149102,113933,338398,37191,14425,15774,45322,76863,69486,65561,57576,66301,73705,73211,33404,41943,25528,30902,46841,31082,21833,26459,26,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Senator,Rhode Island,RI,44,1057315,852805,70749,4341,36064,883,59743,32730,35209808000,56774,32258,42173,38990,34291,35821,14225,20128,140376,149102,113933,338398,37191,14425,15774,45322,76863,69486,65561,57576,66301,73705,73211,33404,41943,25528,30902,46841,31082,21833,26459,26,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Governor,South Carolina,SC,45,5084127,3407706,1353599,23672,80969,4004,92980,121197,140245203900,334323,176032,244860,229812,257402,256579,100192,139159,865589,712312,497252,1131242,154565,72229,72365,188204,339718,314637,316752,306611,316484,320525,349353,136864,191657,122697,180110,250255,163462,98458,84772,17,R,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Governor,South Dakota,SD,46,882235,740870,19057,78068,15023,51,5782,23384,25579164400,50823,27454,33349,38339,30133,39018,14913,27026,157382,140484,100473,193025,26131,14049,10216,34526,61430,54870,55592,49575,47029,50234,58813,22722,36227,22888,26029,36105,23706,15869,21761,31,R,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
Governor,Tennessee,TN,47,6770010,5235588,1137801,19136,119046,5494,101153,151792,191216784800,433900,268636,308480,320708,339160,318114,131367,214999,1155233,946072,672662,1493682,182466,88227,87077,262042,484179,430604,433396,413042,445683,438278,445131,179315,266398,154535,212129,291896,202763,130012,113462,28,R,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0
Senator,Tennessee,TN,47,6770010,5235588,1137801,19136,119046,5494,101153,151792,191216784800,433900,268636,308480,320708,339160,318114,131367,214999,1155233,946072,672662,1493682,182466,88227,87077,262042,484179,430604,433396,413042,445683,438278,445131,179315,266398,154535,212129,291896,202763,130012,113462,28,R,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0
Governor,Texas,TX,48,28701845,21099066,3527027,149997,1430857,21463,1709445,763990,838595697000,1815948,1074265,1290462,1379197,1369220,1374878,538801,809280,4567087,3773404,2749172,7332859,836579,410950,403759,1173976,2128188,2053772,2031128,1879495,1839837,1711162,1694490,648814,890612,524653,706613,943028,627484,414886,382935,17,R,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0
Senator,Texas,TX,48,28701845,21099066,3527027,149997,1430857,21463,1709445,763990,838595697000,1815948,1074265,1290462,1379197,1369220,1374878,538801,809280,4567087,3773404,2749172,7332859,836579,410950,403759,1173976,2128188,2053772,2031128,1879495,1839837,1711162,1694490,648814,890612,524653,706613,943028,627484,414886,382935,17,R,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0
Senator,Utah,UT,49,3161105,2708195,40365,34678,75898,29362,171456,101151,90995315300,131030,64940,84803,112425,117715,136037,65383,88354,597725,542363,380133,790036,96598,45531,56359,158884,245849,217495,227212,210741,173172,145859,152425,59719,88133,51249,69437,91520,59154,44674,35263,31,R,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Senator,Virginia,VA,51,8517685,5737580,1631512,22265,555422,5659,215743,349504,320358583200,423400,204257,256990,261453,282788,321486,114101,199131,1193494,1077531,891840,3037624,246322,123692,118312,337712,586334,583854,578861,535705,556213,559482,574308,220159,308866,186031,259114,334357,235977,154560,148186,0,D,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Senator,Vermont,VT,50,626299,589337,7621,1743,11859,139,2815,12785,20782779100,28406,16286,21321,20067,18901,27922,6146,16332,100776,91046,76680,177378,21469,11671,9080,22728,38651,36407,36873,33240,38397,42298,47049,19275,29759,18940,24188,32627,21829,13142,13149,24,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senator,Washington,WA,53,7535591,5633263,291808,97329,661781,53924,344853,452633,288867626400,350974,178930,229109,243764,248264,276179,102502,187116,1119894,1050578,808468,2604779,183412,91298,95425,288454,587713,565656,540013,466315,473402,457519,488025,193204,279229,171417,224795,314569,202049,123101,128056,12,D,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0
Senator,Wisconsin,WI,55,5813568,4957243,370632,50364,165380,1961,121475,146513,188939866200,274093,148135,203598,219561,196782,231153,100664,149531,961584,902195,688875,1588982,154634,79457,79818,235532,372302,363463,375555,331121,350740,387617,419486,172398,232857,139262,189441,242969,170480,119576,124755,1,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0
Senator,West Virginia,WV,54,1805832,1679773,68679,2629,13459,451,6430,34411,45335975800,132751,86151,93286,103595,86683,90051,40952,48299,325103,241852,167350,337403,48066,24964,24819,63977,108768,100234,106910,111893,115061,118048,127449,53149,78053,51063,76611,87616,64656,41051,40219,30,R,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0
Governor,Wyoming,WY,56,577737,528453,3667,16185,5807,1111,8798,13716,18865727100,28721,14611,18969,19991,20323,24256,11214,13572,107120,80182,71400,153015,18625,7684,4762,20434,38983,38271,39572,32833,33547,33940,38002,17661,23770,13385,22474,23608,17470,10362,9258,47,R,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
