Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,Party,Rep Party Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?,FEC_name,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS
Lee Auman,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-62.48,54.130001,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Neighbors,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Lost,None,None,-62.48,45.869999,No,White,Yes,No,No,No,No,No,,,No,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Joffrion,AL,U.S. House Alabama District 5,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-34.830002,100.0,Yes,White,No,No,No,No,No,No,,,,,,,,,,Yes,,,,Democrat,,,,,,,,,,,,,,"JOFFRION, PETER S.",H8AL05190,"JOFFRION, PETER S.",C,1.0,DEM,590173.38,0.0,587237.93,0.0,0.0,2935.45,1156.51,5000.0,0.0,5000.0,0.0,0.0,553386.53,AL,5.0,,,,,,29823.41,0.0,12/31/2018,5670.3,4000.0
Danner Kline,AL,U.S. House Alabama District 6,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-48.459999,100.0,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,Democrat,,,,,,,,,,,,,,"KLINE, DANNER",H8AL06099,"KLINE, DANNER",C,1.0,DEM,287432.23,0.0,287432.23,0.0,0.0,0.0,818.0,0.0,0.0,0.0,0.0,0.0,277614.23,AL,6.0,,,,,,9000.0,0.0,11/26/2018,35.0,0.0
Jared Henderson,AR,Governor of Arkansas,Governor,Regular,5/22/18,Advanced,None,On the Ballot,-28.639999,63.299999,Yes,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leticia Sanders,AR,Governor of Arkansas,Governor,Regular,5/22/18,Lost,None,None,-28.639999,36.700001,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chintan Desai,AR,U.S. House Arkansas District 1,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-34.810001,100.0,Yes,Nonwhite,No,No,No,No,No,No,,,Yes,,,,,,,Yes,,,,Democrat,,,,,,,,,,,,,,"DESAI, CHINTAN",H8AR01029,"DESAI, CHINTAN",C,1.0,DEM,137153.22,0.0,137153.22,0.0,0.0,0.0,4597.63,0.0,0.0,0.0,0.0,0.0,120235.13,AR,1.0,,,,,,12320.46,0.0,11/30/2018,0.0,0.0
Clarke Tucker,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-13.51,57.82,Yes,White,No,No,Yes,No,No,No,Yes,,Yes,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gwen Combs,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,-13.51,20.299999,No,White,Yes,No,No,No,No,No,No,,Yes,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Dunkley,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,-13.51,9.3400002,No,Nonwhite,No,No,No,No,No,No,No,,No,,,,,,,,,,,Democrat,,,,,,,,,,,,,,"DUNKLEY, JONATHAN",H8AR02167,"DUNKLEY, JONATHAN",C,1.0,DEM,34466.05,0.0,34298.21,0.0,250.0,417.84,0.0,10000.0,0.0,0.0,0.0,10000.0,24466.05,AR,2.0,,,,,,0.0,0.0,07/25/2018,0.0,0.0
Paul Spencer,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,-13.51,12.55,No,White,No,No,No,No,No,No,No,,No,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Mahony,AR,U.S. House Arkansas District 3,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-34.560001,100.0,Yes,White,No,No,No,No,No,No,,,,,,,,,,Yes,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayden Shamel,AR,U.S. House Arkansas District 4,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-33.68,100.0,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brianna Westbrook,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,-24.559999,39.720001,No,White,No,Yes,No,No,No,No,,,,,,,Yes,Yes,,,,,,Democrat,,,,,,,,,,,,,,"WESTBROOK, BRIANNA",H8AZ08059,"WESTBROOK, BRIANNA",O,1.0,DEM,42870.67,0.0,38439.89,3829.21,0.0,0.0,275.0,0.0,0.0,0.0,0.0,0.0,39170.67,AZ,8.0,,,,,,250.0,3175.0,06/30/2018,0.0,0.0
Hiral Tipirneni,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Advanced,None,On the Ballot,-24.559999,60.220001,Yes,Nonwhite,No,No,No,No,Yes,No,,,,,,,No,No,,,,,,Democrat,,,,,,,,,,,,,,"TIPIRNENI, HIRAL",H8AZ08083,"TIPIRNENI, HIRAL",O,1.0,DEM,4579945.1,0.0,4479343.36,0.0,0.0,100601.74,23593.05,70000.0,0.0,0.0,0.0,70000.0,4279324.0,AZ,8.0,,,,,,206952.6,0.0,12/31/2018,103928.84,0.0
Akinyemi Agbede,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.22,No,Nonwhite,No,No,No,No,Yes,No,,,No,,,,No,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Caesar Mezzetti,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.28,No,White,Yes,No,Yes,No,No,No,,,No,,,,No,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanda Renteria,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,2.1500001,No,Nonwhite,No,No,No,No,No,No,,,No,,,,No,,,,,,,Democrat,,,,,,,,,,,,,,"RENTERIA, AMANDA",H4CA21072,"RENTERIA, AMANDA",C,1.0,DEM,0.0,0.0,21580.04,0.0,21580.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CA,21.0,,,,,,0.0,0.0,03/21/2018,0.0,0.0
Antonio Villaraigosa,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,21.290001,No,Nonwhite,No,No,Yes,No,No,No,,,No,,,,No,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaine Eastin,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,5.4000001,No,White,No,No,Yes,No,No,No,,,Yes,,,,Yes,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavin Newsom,CA,Governor of California,Governor,Regular,6/5/18,Advanced,None,On the Ballot,25.83,53.869999,Yes,White,No,No,Yes,No,No,No,,,Yes,,,,No,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Chiang,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,15.08,No,Nonwhite,No,No,Yes,No,Yes,No,,,Yes,,,,No,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Bribiesca,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.40000001,No,Nonwhite,No,No,No,No,Yes,No,,,No,,,,No,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klement Tinaj,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.12,No,Nonwhite,No,No,No,No,No,No,,,No,,,,No,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Shellenberger,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.73000002,No,White,No,No,No,No,No,No,,,No,,,,No,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Davidson Griffis,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.25999999,No,White,No,No,No,No,No,No,,,No,,,,No,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Jefferson Cares,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.20999999,No,White,No,No,No,No,Yes,No,,,No,,,,No,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audrey Denney,CA,U.S. House California District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-21.379999,43.650002,Yes,White,No,No,No,No,No,No,,,,,,,Yes,Yes,,No,,,,Democrat,,,,,,,,,,,,,,"DENNEY, AUDREY",H8CA01257,"DENNEY, AUDREY",C,1.0,DEM,1097584.95,0.0,1097092.46,0.0,0.0,492.49,0.0,4000.0,0.0,4000.0,0.0,0.0,1051203.75,CA,1.0,,,,,,38045.2,2000.0,12/31/2018,2758.81,700.0
David Peterson,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,None,-21.379999,7.3000002,No,White,No,No,No,No,No,No,,,,,,,No,No,,No,,,,Democrat,,,,,,,,,,,,,,"PETERSON, DAVID",H6CA01202,"PETERSON, DAVID",C,1.0,DEM,17275.0,0.0,12697.0,0.0,0.0,4578.0,0.0,15000.0,0.0,0.0,0.0,15000.0,2275.0,CA,1.0,,,,,,0.0,0.0,03/31/2018,0.0,0.0
Jessica Holcombe,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,None,-21.379999,28.540001,No,White,No,No,No,No,No,No,,,,,,,No,No,,No,,,,Democrat,,,,,,,,,,,,,,"HOLCOMBE, JESSICA JONES",H8CA01190,"HOLCOMBE, JESSICA JONES",C,1.0,DEM,290020.57,0.0,290020.57,0.0,0.0,0.0,104.0,1500.0,0.0,1500.0,0.0,0.0,288416.57,CA,1.0,,,,,,0.0,0.0,08/23/2018,2671.66,0.0
Marty Walters,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,None,-21.379999,20.51,No,White,No,No,No,No,No,No,,,,,,,No,No,,Yes,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dotty Nygard,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,1.89,No,White,No,No,No,No,Yes,No,No,No,No,,,,Yes,Yes,,No,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Harder,CA,U.S. House California District 10,Representative,Regular,6/5/18,Advanced,None,On the Ballot,0.62,35.57,Yes,White,No,No,No,No,Yes,No,Yes,No,Yes,,,,No,No,,No,,,,Democrat,,,,,,,,,,,,,,"HARDER, JOSH",H8CA10126,"HARDER, JOSH",C,1.0,DEM,8441529.09,651463.29,8421288.43,0.0,0.0,20240.66,0.0,0.0,0.0,0.0,0.0,3000.0,7411079.72,CA,10.0,,,,,,350099.9,1396.2,12/31/2018,51546.84,2425.0
Michael Eggman,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,21.34,No,White,No,No,No,No,No,No,No,No,No,,,,No,No,,No,,,,Democrat,,,,,,,,,,,,,,"EGGMAN, MICHAEL RAY",H4CA10075,"EGGMAN, MICHAEL RAY",C,1.0,DEM,346820.52,0.0,398230.02,0.0,55695.28,4285.78,0.0,0.0,0.0,0.0,0.0,0.0,279896.29,CA,10.0,,,,,,34500.0,0.0,09/30/2018,18085.0,10000.0
Mike Barkley,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,4.98,No,White,Yes,No,No,No,Yes,No,No,No,No,,,,No,No,,No,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sue Zwahlen,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,17.049999,No,White,No,No,Yes,No,Yes,No,No,No,No,,,,No,No,,No,,,,Democrat,,,,,,,,,,,,,,"ZWAHLEN, SUE",H8CA10183,"ZWAHLEN, SUE",C,1.0,DEM,840266.61,0.0,480284.77,0.0,0.0,0.0,366402.78,360450.0,0.0,468.16,0.0,359981.84,112972.7,CA,10.0,,,,,,0.0,0.0,09/30/2018,478.43,0.0
Virginia Madueno,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,19.17,No,Nonwhite,No,No,Yes,No,No,No,No,Yes,Yes,,,,No,No,,Yes,,,,Democrat,,,,,,,,,,,,,,"MADUENO, VIRGINIA",H8CA10175,"MADUENO, VIRGINIA",C,1.0,DEM,355454.26,0.0,355954.26,0.0,0.0,0.0,2402.56,10000.0,0.0,0.0,0.0,0.0,313931.7,CA,10.0,,,,,,29000.0,0.0,12/31/2018,30873.43,0.0
TJ Cox,CA,U.S. House California District 21,Representative,Regular,6/5/18,Advanced,None,On the Ballot,11.87,100.0,Yes,Nonwhite,No,No,No,No,Yes,No,Yes,No,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Janz,CA,U.S. House California District 22,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-13.41,78.830002,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,"JANZ, ANDREW",H8CA22139,"JANZ, ANDREW",C,1.0,DEM,9233869.01,145709.04,9211821.7,0.0,0.0,22047.31,0.0,0.0,0.0,0.0,0.0,0.0,8957855.58,CA,22.0,,,,,,116743.71,1595.96,12/31/2018,126723.67,8500.0
Bobby Bliatout,CA,U.S. House California District 22,Representative,Regular,6/5/18,Lost,None,None,-13.41,12.26,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,"BLIATOUT, BOBBY",H8CA22154,"BLIATOUT, BOBBY",C,1.0,DEM,394178.67,0.0,394178.67,0.0,0.0,0.0,205831.61,75000.0,2700.0,75000.0,2700.0,0.0,105154.47,CA,22.0,,,,,,0.0,0.0,08/30/2018,2302.43,0.0
Ricardo Franco,CA,U.S. House California District 22,Representative,Regular,6/5/18,Lost,None,None,-13.41,8.9099998,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,"FRANCO, RICARDO JOSE",H8CA22147,"FRANCO, RICARDO JOSE",C,1.0,DEM,51123.99,0.0,49008.28,0.0,0.0,2115.71,4542.0,0.0,0.0,0.0,0.0,25266.04,44863.53,CA,22.0,,,,,,1000.0,0.0,12/31/2018,0.0,0.0
Kurtis Wilson,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,None,-25.379999,4.8400002,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,"WILSON, KURTIS",H8CA23111,"WILSON, KURTIS",C,1.0,DEM,12040.87,0.0,11839.91,0.0,0.0,200.96,480.14,3212.73,0.0,0.0,0.0,3212.73,8348.0,CA,23.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0
Mary Helen Barro,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,None,-25.379999,18.200001,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,"BARRO, MARY",H8CA23129,"BARRO, MARY",C,1.0,DEM,12509.54,0.0,12438.97,0.0,0.0,70.57,11855.54,0.0,0.0,0.0,0.0,4583.45,654.0,CA,23.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0
Tatiana Matta,CA,U.S. House California District 23,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-25.379999,42.720001,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,"MATTA, TATIANA",H8CA23103,"MATTA, TATIANA",C,1.0,DEM,116057.86,0.0,106342.6,0.0,0.0,9679.28,1418.36,0.0,0.0,0.0,0.0,0.0,94708.04,CA,23.0,,,,,,19825.0,0.0,12/31/2018,1.0,0.0
Wendy Reed,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,None,-25.379999,34.25,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,"REED, WENDY",H6CA23206,"REED, WENDY",C,1.0,DEM,27394.25,0.0,28264.93,0.0,0.0,0.0,0.0,4499.23,0.0,1831.04,0.0,0.0,21882.34,CA,23.0,,,,,,1000.0,0.0,12/31/2018,3.58,0.0
Bryan Caforio,CA,U.S. House California District 25,Representative,Regular,6/5/18,Lost,None,None,2.02,38.259998,No,White,No,No,No,No,No,No,No,No,Yes,,,,No,Yes,,,,,,Democrat,,,,,,,,,,,,,,"CAFORIO, BRYAN",H6CA25177,"CAFORIO, BRYAN",C,1.0,DEM,1217418.32,0.0,1220320.16,0.0,2977.6,75.76,12682.51,96000.0,0.0,0.0,0.0,96000.0,1014668.02,CA,25.0,,,,,,62796.4,0.0,12/31/2018,84536.48,10000.0
