Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,Party,Rep Party Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?,FEC_name,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS
Kevin Gaither,IL,U.S. House Illinois District 15,Representative,Regular,3/20/18,Advanced,None,On the Ballot,-44.630001,62.099998,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,"GAITHER, KEVIN",H8IL15072,"GAITHER, KEVIN",C,1.0,DEM,53605.89,0.0,53529.79,0.0,0.0,76.1,30.0,0.0,0.0,0.0,0.0,0.0,43647.64,IL,15.0,,,,,,8579.0,1000.0,12/31/2018,500.0,0.0
Amy Murri Briel,IL,U.S. House Illinois District 16,Representative,Regular,3/20/18,Lost,None,None,-17.360001,19.5,No,White,No,No,No,No,No,No,,,,,,,Yes,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beth Vercolio-Osmund,IL,U.S. House Illinois District 16,Representative,Regular,3/20/18,Lost,None,None,-17.360001,13.0,No,White,No,No,No,No,No,No,,,,,,,No,,,,,,,Democrat,,,,,,,,,,,,,,"VERCOLIO-OSMUND, BETH",H8IL16161,"VERCOLIO-OSMUND, BETH",C,1.0,DEM,13098.0,0.0,98.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,13098.0,IL,16.0,,,,,,0.0,0.0,04/15/2018,0.0,0.0
Neill Mohammad,IL,U.S. House Illinois District 16,Representative,Regular,3/20/18,Lost,None,None,-17.360001,27.200001,No,Nonwhite,No,No,No,No,No,No,,,,,,,No,,,,,,,Democrat,,,,,,,,,,,,,,"MOHAMMAD, NEILL DR.",H8IL16096,"MOHAMMAD, NEILL DR.",C,1.0,DEM,213341.55,0.0,213341.55,0.0,0.0,0.0,7221.2,10000.0,0.0,0.0,0.0,0.0,196120.35,IL,16.0,,,,,,0.0,0.0,12/31/2018,2800.0,0.0
Sara Dady,IL,U.S. House Illinois District 16,Representative,Regular,3/20/18,Advanced,None,On the Ballot,-17.360001,40.299999,Yes,White,No,No,No,No,No,No,,,,,,,No,,,,,,,Democrat,,,,,,,,,,,,,,"DADY, SARA",H8IL16120,"DADY, SARA",C,1.0,DEM,382450.38,0.0,397692.79,0.0,0.0,-16574.74,2750.0,1000.0,0.0,0.0,0.0,1000.0,355808.31,IL,16.0,,,,,,18730.0,0.0,12/31/2018,1227.42,0.0
Brian Deters,IL,U.S. House Illinois District 18,Representative,Regular,3/20/18,Lost,None,None,-28.83,39.5,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,"DETERS, BRIAN",H8IL18092,"DETERS, BRIAN",C,1.0,DEM,20583.09,0.0,19770.32,0.0,0.0,812.77,816.6,0.0,0.0,0.0,0.0,0.0,19566.49,IL,18.0,,,,,,200.0,0.0,12/31/2018,100.0,0.0
Darrel Miller,IL,U.S. House Illinois District 18,Representative,Regular,3/20/18,Lost,None,None,-28.83,18.799999,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junius Rodriguez,IL,U.S. House Illinois District 18,Representative,Regular,3/20/18,Advanced,None,On the Ballot,-28.83,41.700001,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,"RODRIGUEZ, JUNIUS",H6IL18161,"RODRIGUEZ, JUNIUS",C,1.0,DEM,78311.3,0.0,73405.89,0.0,0.0,4905.41,1926.01,0.0,0.0,0.0,0.0,0.0,72725.29,IL,18.0,,,,,,2300.0,1360.0,12/31/2018,0.0,0.0
Jesus Garcia,IL,U.S. House Illinois District 4,Representative,Regular,3/20/18,Advanced,None,On the Ballot,65.089996,66.199997,Yes,Nonwhite,No,No,Yes,No,No,No,,No,,,,Yes,Yes,,,,,,,Democrat,,,,,,,,,,,,,,"GARCIA, JESUS",H8IL04134,"GARCIA, JESUS",O,1.0,DEM,873126.05,54761.27,858055.59,0.0,0.0,15070.46,0.0,0.0,0.0,0.0,0.0,0.0,512010.02,IL,4.0,,,,,,301115.9,5000.0,12/31/2018,11389.33,360.0
Richard Gonzalez,IL,U.S. House Illinois District 4,Representative,Regular,3/20/18,Lost,None,None,65.089996,11.9,No,Nonwhite,No,No,No,No,No,No,,No,,,,No,No,,,,,,,Democrat,,,,,,,,,,,,,,"GONZALEZ, RICHARD",H8IL04126,"GONZALEZ, RICHARD",O,1.0,DEM,47110.0,0.0,42179.0,0.0,0.0,0.0,0.0,32410.0,0.0,0.0,0.0,27410.0,14700.0,IL,4.0,,,,,,0.0,0.0,06/06/2018,0.0,0.0
Sol Flores,IL,U.S. House Illinois District 4,Representative,Regular,3/20/18,Lost,None,None,65.089996,21.9,No,Nonwhite,No,No,No,No,No,No,,Yes,,,,No,No,,,,,,,Democrat,,,,,,,,,,,,,,"FLORES, SOL",H8IL04159,"FLORES, SOL",O,1.0,DEM,341189.07,0.0,328979.64,0.0,0.0,12209.43,0.0,0.0,0.0,0.0,0.0,0.0,323939.07,IL,4.0,,,,,,17250.0,0.0,12/31/2018,13250.0,0.0
Amanda Howland,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,None,None,0.67000002,12.7,No,White,No,No,No,No,No,No,No,No,No,,,,,,,,,,,Democrat,,,,,,,,,,,,,,"HOWLAND, AMANDA",H6IL06166,"HOWLAND, AMANDA",C,1.0,DEM,198264.19,0.0,197521.25,0.0,0.0,0.0,39522.47,40500.0,0.0,1440.53,0.0,87266.47,117612.52,IL,6.0,,,,,,500.0,0.0,07/15/2018,1500.0,0.0
Becky Anderson Wilkins,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,None,None,0.67000002,6.0,No,White,No,No,No,No,No,No,No,No,No,,,,,,,,,,,Democrat,,,,,,,,,,,,,,"WILKINS, BECKY ANDERSON",H8IL06154,"WILKINS, BECKY ANDERSON",C,1.0,DEM,323740.74,0.0,323740.74,0.0,0.0,0.0,4610.04,36500.0,0.0,21863.31,0.0,0.0,282511.04,IL,6.0,,,,,,0.0,0.0,10/09/2018,6000.7,0.0
Carole Cheney,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,None,None,0.67000002,17.4,No,White,No,No,No,No,No,No,No,No,No,,,,,,,,,,,Democrat,,,,,,,,,,,,,,"CHENEY, CAROLE",H8IL06147,"CHENEY, CAROLE",C,1.0,DEM,350684.28,0.0,348530.66,0.0,0.0,2153.62,0.0,0.0,0.0,0.0,0.0,0.0,346404.48,IL,6.0,,,,,,3750.0,0.0,12/31/2018,12425.0,0.0
Jennifer Zordani,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,None,None,0.67000002,4.0999999,No,White,No,No,No,No,No,No,No,No,No,,,,,,,,,,,Democrat,,,,,,,,,,,,,,"ZORDANI, JENNIFER MS.",H8IL06105,"ZORDANI, JENNIFER MS.",C,1.0,DEM,110844.0,0.0,110844.0,0.0,0.0,0.0,6.0,3455.0,0.0,0.0,0.0,0.0,106883.0,IL,6.0,,,,,,500.0,0.0,12/31/2018,13801.24,0.0
Kelly Mazeski,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,None,None,0.67000002,26.799999,No,White,No,No,No,No,Yes,No,No,Yes,No,,,,,,,,,,,Democrat,,,,,,,,,,,,,,"MAZESKI, KELLY",H8IL06121,"MAZESKI, KELLY",C,1.0,DEM,923500.75,0.0,922936.26,0.0,0.0,564.49,7987.33,295000.0,0.0,0.0,0.0,250000.0,583560.57,IL,6.0,,,,,,31222.92,0.0,12/31/2018,31297.94,0.0
Ryan Huffman,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,None,None,0.67000002,3.5,No,White,No,No,No,No,Yes,No,No,No,No,,,,,,,,,,,Democrat,,,,,,,,,,,,,,"HUFFMAN, RYAN",H8IL06162,"HUFFMAN, RYAN",C,1.0,DEM,8688.83,0.0,8673.66,0.0,0.0,0.0,670.49,0.0,0.0,0.0,0.0,0.0,7962.0,IL,6.0,,,,,,0.0,0.0,06/20/2018,0.0,0.0
Sean Casten,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Advanced,None,On the Ballot,0.67000002,29.5,Yes,White,No,No,No,Yes,Yes,No,Yes,No,Yes,,,,,,,,,,,Democrat,,,,,,,,,,,,,,"CASTEN, SEAN",H8IL06139,"CASTEN, SEAN",C,1.0,DEM,6439711.53,97626.67,6362182.45,0.0,0.0,77529.08,0.0,650000.0,0.0,128243.85,0.0,141756.15,5185560.79,IL,6.0,,,,,,441793.54,10000.0,12/31/2018,53824.68,0.0
Douglas Carpenter,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Lost,None,None,-23.43,5.3000002,No,White,No,No,No,No,Yes,No,,,No,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Petroff,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Lost,None,None,-23.43,1.5,No,White,No,No,No,No,No,No,,,No,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mel Hall,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-23.43,41.700001,Yes,White,No,No,No,Yes,Yes,No,,,No,,,,,,,,,,,Democrat,,,,,,,,,,,,,,"HALL, MEL",H8IN02169,"HALL, MEL",C,1.0,DEM,4123139.0,16005.67,4065914.63,0.0,0.0,57224.37,22000.0,3090000.0,0.0,0.0,0.0,500000.0,842176.71,IN,2.0,,,,,,139725.0,2500.0,12/31/2018,9050.7,0.0
Pat Hackett,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Lost,None,None,-23.43,28.200001,No,White,No,Yes,No,No,No,No,,,No,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roland Leech,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Lost,None,None,-23.43,1.2,No,White,Yes,No,No,No,No,No,,,No,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yatish Joshi,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Lost,None,None,-23.43,22.1,No,Nonwhite,No,No,No,Yes,Yes,No,,,Yes,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtney Tritch,IN,U.S. House Indiana District 3,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-35.48,79.099998,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,"TRITCH, COURTNEY",H8IN03076,"TRITCH, COURTNEY",C,1.0,DEM,859851.8,0.0,852221.6,0.0,0.0,7630.2,1034.23,0.0,0.0,0.0,0.0,0.0,826333.95,IN,3.0,,,,,,19025.0,13458.62,12/31/2018,932.46,2000.0
John Roberson,IN,U.S. House Indiana District 3,Representative,Regular,5/8/18,Lost,None,None,-35.48,10.2,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tommy Schrader,IN,U.S. House Indiana District 3,Representative,Regular,5/8/18,Lost,None,None,-35.48,10.7,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darin Patrick Griesey,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,None,-34.110001,6.6999998,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Mackey,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,None,-34.110001,16.1,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roger Day,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,None,-34.110001,12.4,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roland Ellis,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,None,-34.110001,9.1999998,No,White,,,,No,,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobi Beck,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-34.110001,34.599998,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,"BECK, TOBI",H8IN04124,"BECK, TOBI",O,1.0,DEM,120052.37,0.0,119335.44,0.0,15.0,0.0,11237.42,5000.0,0.0,4275.0,0.0,0.0,97735.95,IN,4.0,,,,,,5000.0,500.0,12/31/2018,0.0,0.0
Veronikka Ziol,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,None,-34.110001,21.1,No,White,No,Yes,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dee Thornton,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-15.58,53.0,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dion Douglas,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Lost,None,None,-15.58,10.3,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eshel Faraggi,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Lost,None,None,-15.58,7.5999999,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Brenden Moore,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Lost,None,None,-15.58,23.700001,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,"MOORE, KYLE BRENDEN",H8IN05204,"MOORE, KYLE BRENDEN",C,1.0,DEM,6244.35,0.0,4638.68,0.0,0.0,1605.67,1050.0,0.0,0.0,0.0,0.0,0.0,5194.35,IN,5.0,,,,,,0.0,0.0,06/30/2018,0.0,0.0
Sean Dugdale,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Lost,None,None,-15.58,5.5,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,"DUGDALE, SEAN",H8IN05147,"DUGDALE, SEAN",C,1.0,DEM,434.0,0.0,434.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,IN,5.0,,,,,,0.0,0.0,03/31/2018,0.0,0.0
George Thomas Holland,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,-38.529999,11.1,No,White,Yes,No,No,No,Yes,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeannine Lee Lake,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-38.529999,38.299999,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,"LAKE, JEANNINE LEE",H8IN06152,"LAKE, JEANNINE LEE",O,1.0,DEM,100644.9,0.0,101754.84,200.0,100.0,50.58,898.27,6216.66,0.0,0.0,0.0,0.0,89455.1,IN,6.0,,,,,,3415.29,370.04,12/31/2018,2371.0,0.0
Jim Pruett,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,-38.529999,25.799999,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Williamson,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,-38.529999,7.3000002,No,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K. Lave,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,-38.529999,1.9,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Siekman,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,-38.529999,15.6,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Tanoos,IN,U.S. House Indiana District 8,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-32.509998,100.0,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,"TANOOS, WILLIAM",H8IN08141,"TANOOS, WILLIAM",C,1.0,DEM,229896.74,0.0,229896.74,0.0,0.0,0.0,4375.82,0.0,0.0,0.0,0.0,0.0,189945.92,IN,8.0,,,,,,27075.0,8500.0,11/29/2018,0.05,500.0
Daniel Canon,IN,U.S. House Indiana District 9,Representative,Regular,5/8/18,Lost,None,None,-26.83,30.700001,No,White,No,No,No,No,No,No,,No,,,No,,,Yes,No,,No,,,Democrat,,,,,,,,,,,,,,"CANON, DANIEL J",H8IN09081,"CANON, DANIEL J",C,1.0,DEM,456072.32,0.0,451606.84,0.0,0.0,-3265.85,6400.0,1500.0,0.0,622.93,0.0,0.0,440412.03,IN,9.0,,,,,,2726.82,0.0,12/31/2018,40104.23,0.0
Liz Watson,IN,U.S. House Indiana District 9,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-26.83,66.400002,Yes,White,No,No,No,No,No,No,,Yes,,,Yes,,,No,Yes,,Yes,,,Democrat,,,,,,,,,,,,,,"WATSON, LIZ",H8IN09107,"WATSON, LIZ",C,1.0,DEM,2534627.98,0.0,2518118.51,0.0,0.0,16509.47,2286.26,25000.0,0.0,25000.0,0.0,0.0,2197184.78,IN,9.0,,,,,,306990.92,2500.0,12/31/2018,14395.5,1600.0
Rob Chatlos,IN,U.S. House Indiana District 9,Representative,Regular,5/8/18,Lost,None,None,-26.83,2.9000001,No,White,No,No,No,No,No,No,,No,,,No,,,No,No,,No,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arden Andersen,KS,Governor of Kansas,Governor,Regular,8/7/18,Lost,None,None,-23.41,7.9000001,No,White,Yes,No,No,No,Yes,No,,No,No,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carl Brewer,KS,Governor of Kansas,Governor,Regular,8/7/18,Lost,None,None,-23.41,20.6,No,Nonwhite,Yes,No,Yes,No,No,No,,No,No,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Bergeson,KS,Governor of Kansas,Governor,Regular,8/7/18,Lost,None,None,-23.41,2.5999999,No,White,No,No,No,No,No,No,,No,No,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Svaty,KS,Governor of Kansas,Governor,Regular,8/7/18,Lost,None,None,-23.41,17.799999,No,White,No,No,No,No,No,No,,No,Yes,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laura Kelly,KS,Governor of Kansas,Governor,Regular,8/7/18,Advanced,None,On the Ballot,-23.41,51.400002,Yes,White,No,No,Yes,No,No,No,,Yes,No,,,,,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alan LaPolice,KS,U.S. House Kansas District 1,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-46.91,100.0,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,"LAPOLICE, ALAN",H4KS01059,"LAPOLICE, ALAN",C,1.0,DEM,215396.38,0.0,214415.67,0.0,-975.46,5.25,0.0,4200.0,0.0,0.0,0.0,31489.73,211196.38,KS,1.0,,,,,,0.0,0.0,12/31/2018,4500.0,0.0
Paul Davis,KS,U.S. House Kansas District 2,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-19.73,100.0,Yes,White,No,No,Yes,No,No,No,,,,,,,,,,,,,,Democrat,,,,,,,,,,,,,,"DAVIS, PAUL T.",H8KS02173,"DAVIS, PAUL T.",O,1.0,DEM,3985402.56,418693.57,3954361.15,0.0,0.0,31166.41,8355.6,0.0,0.0,0.0,0.0,17775.8,2983326.41,KS,2.0,,,,,,550232.5,5150.0,12/31/2018,8147.53,0.0
Brent Welder,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,-4.0100002,33.900002,No,White,No,No,No,No,No,Yes,,No,Yes,,,Yes,Yes,Yes,Yes,No,,,,Democrat,,,,,,,,,,,,,,"WELDER, BRENT",H8KS03122,"WELDER, BRENT",C,1.0,DEM,996963.1,0.0,996664.33,0.0,0.0,298.77,2032.26,54750.0,0.0,54750.0,0.0,0.0,868956.11,KS,3.0,,,,,,70122.66,0.0,12/31/2018,59699.12,11500.0
Jay Sidie,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,-4.0100002,2.9000001,No,White,No,No,No,No,No,No,,No,No,,,No,No,No,No,No,,,,Democrat,,,,,,,,,,,,,,"SIDIE, JAY",H6KS03241,"SIDIE, JAY",C,1.0,DEM,107632.33,0.0,117503.51,0.0,9871.18,0.0,3100.0,0.0,0.0,47200.0,0.0,0.0,46401.02,KS,3.0,,,,,,0.0,0.0,12/31/2018,6043.66,0.0
Mike McCamon,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,-4.0100002,6.9000001,No,White,No,No,No,No,Yes,No,,No,No,,,No,No,No,No,No,,,,Democrat,,,,,,,,,,,,,,"MCCAMON, MIKE",H8KS03148,"MCCAMON, MIKE",C,1.0,DEM,180148.55,0.0,180147.93,0.0,0.0,0.0,1049.85,138000.0,0.0,130587.39,0.0,0.0,41075.97,KS,3.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0
Sharice Davids,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-4.0100002,37.299999,Yes,Nonwhite,No,Yes,No,No,No,No,,Yes,No,,,No,No,No,No,Yes,,,,Democrat,,,,,,,,,,,,,,"DAVIDS, SHARICE",H8KS03155,"DAVIDS, SHARICE",C,1.0,DEM,4860761.14,424862.78,4852128.71,0.0,0.0,8632.43,0.0,0.0,0.0,0.0,0.0,38827.66,3996428.93,KS,3.0,,,,,,431469.13,5000.0,12/31/2018,26788.76,0.0
Sylvia Williams,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,-4.0100002,4.6999998,No,White,No,No,No,No,No,No,,No,No,,,No,No,No,No,No,,,,Democrat,,,,,,,,,,,,,,"WILLIAMS, SYLVIA",H8KS03163,"WILLIAMS, SYLVIA",C,1.0,DEM,317826.27,0.0,317826.27,0.0,0.0,0.0,1132.32,0.0,258000.0,15399.93,0.0,0.0,58693.95,KS,3.0,,,,,,0.0,0.0,08/27/2018,2700.0,0.0
Tom Niermann,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,-4.0100002,14.3,No,White,No,No,No,No,No,No,,No,No,,,No,No,No,No,Yes,,,,Democrat,,,,,,,,,,,,,,"NIERMANN, TOM",H8KS03114,"NIERMANN, TOM",C,1.0,DEM,810073.47,0.0,809819.8,0.0,0.0,253.67,0.0,0.0,0.0,0.0,0.0,6015.85,803244.47,KS,3.0,,,,,,5000.0,0.0,09/30/2018,85254.0,0.0
James Thompson,KS,U.S. House Kansas District 4,Representative,Regular,8/7/18,Advanced,None,On the Ballot,-29.309999,65.300003,Yes,White,Yes,No,No,No,No,No,,,Yes,,,Yes,Yes,Yes,,,,,,Democrat,,,,,,,,,,,,,,"THOMPSON, JAMES A MR.",H8KS04120,"THOMPSON, JAMES A MR.",C,1.0,DEM,1483689.67,0.0,1483689.67,0.0,0.0,0.0,0.0,0.0,782.91,0.0,0.0,782.91,1412976.22,KS,4.0,,,,,,65302.97,3000.0,12/31/2018,16828.5,0.0
Laura Lombard,KS,U.S. House Kansas District 4,Representative,Regular,8/7/18,Lost,None,None,-29.309999,34.700001,No,White,No,No,No,No,No,No,,,Yes,,,No,No,No,,,,,,Democrat,,,,,,,,,,,,,,"LOMBARD, LAURA",H8KS04088,"LOMBARD, LAURA",C,1.0,DEM,112949.81,0.0,112949.81,0.0,0.0,0.0,1325.0,8284.4,0.0,0.0,0.0,8284.4,102089.7,KS,4.0,,,,,,1250.0,0.0,12/31/2018,7900.0,0.0
Alonzo Pennington,KY,U.S. House Kentucky District 1,Representative,Regular,5/22/18,Lost,None,None,-47.48,25.4,No,White,No,No,No,No,No,No,,,,,,,No,,,No,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Walker,KY,U.S. House Kentucky District 1,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-47.48,74.599998,Yes,White,No,No,No,No,No,No,,,,,,,Yes,,,Yes,,,,Democrat,,,,,,,,,,,,,,"WALKER, PAUL",H8KY01074,"WALKER, PAUL",C,1.0,DEM,51853.84,2983.97,50083.19,0.0,0.0,1770.65,0.0,0.0,0.0,0.0,0.0,0.0,39719.87,KY,1.0,,,,,,6500.0,2650.0,12/31/2018,0.0,0.0
Brian Pedigo,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Lost,None,None,-39.509998,28.68,No,White,No,No,No,No,No,No,,,,,,,No,,,,,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
